transaction_id,rental_id,transaction_date,transaction_year,category_id,category_name,city,country,customer_id,payment_amount,rental_duration
1,72,2024-06-10,2024-07-26,75,Crime|Drama|Film-Noir|Romance,Baru,Indonesia,55,41,95
2,22,2025-03-14,2024-10-08,30,Comedy|Drama|Romance,Akademija (Kaunas),Lithuania,89,57,88
3,40,2025-02-27,2024-10-10,99,Documentary,Sovetskaya,Russia,16,23,13
4,85,2025-05-13,2024-11-19,46,Drama,Pitkyaranta,Russia,68,87,67
5,84,2024-09-28,2024-11-14,78,Documentary,Rudky,Ukraine,25,64,29
6,84,2024-10-25,2025-02-23,17,Mystery|Thriller,Tinalmud,Philippines,47,31,50
7,3,2025-01-28,2025-04-16,82,Adventure,Chengnan,China,29,80,90
8,49,2024-06-23,2024-05-24,98,Adventure|Children|Drama,Aksu,Kazakhstan,58,21,40
9,73,2024-11-17,2025-02-26,92,Adventure|Documentary,Santa Cruz,Honduras,82,44,96
10,70,2025-04-26,2024-12-24,83,Drama,Umm Sa‘īd,Qatar,22,97,82
11,51,2025-02-23,2024-06-01,53,Documentary,Naju,South Korea,14,25,72
12,48,2024-10-27,2025-03-11,15,Action|Adventure|Animation|Fantasy|Horror,Chastyye,Russia,26,96,71
13,14,2024-07-21,2024-11-14,35,Drama|Romance,Novalja,Croatia,95,80,70
14,7,2024-11-25,2025-04-29,33,Horror,Fredrikstad,Norway,16,35,29
15,30,2025-01-30,2024-10-29,7,Crime|Drama|Thriller,Cruzília,Brazil,39,85,59
16,62,2025-02-24,2024-09-03,92,Documentary,El Carmen,Colombia,84,36,80
17,33,2024-08-22,2024-06-07,62,Horror|Sci-Fi,Tandzut,Armenia,36,91,45
18,79,2024-11-11,2025-01-10,34,Comedy,Jincheng,China,31,65,58
19,20,2024-12-09,2024-12-14,34,Documentary,Sogod,Philippines,19,88,54
20,71,2025-01-18,2024-05-18,42,Comedy,Leiden,Netherlands,21,95,23
21,19,2025-02-25,2024-11-03,2,Action|Adventure|Fantasy|Sci-Fi,Balayang,Philippines,33,4,51
22,46,2025-04-01,2024-12-26,6,Horror|Thriller,Ipoh,Malaysia,79,19,5
23,66,2024-06-08,2025-01-31,91,Drama,Vitry-sur-Seine,France,1,1,49
24,46,2024-07-09,2024-07-08,9,Comedy|Drama,Cangkuang,Indonesia,100,44,40
25,31,2025-01-29,2025-04-28,75,Comedy,Jiaoba,China,42,40,86
26,59,2024-07-02,2024-12-02,54,Comedy,Pernå,Finland,10,44,75
27,58,2024-11-21,2025-03-08,52,Action|Thriller,Tigaon,Philippines,26,84,23
28,55,2025-04-25,2025-03-10,27,Comedy|Romance,Shuangtang,China,49,64,59
29,90,2025-01-20,2025-04-03,61,Comedy,São Julião do Tojal,Portugal,100,80,7
30,71,2024-06-01,2024-12-18,23,Comedy|Drama|Romance,Bálsamo Oriental,Honduras,25,39,78
31,39,2024-07-16,2024-12-05,38,Comedy|Romance,West Island,Cocos Islands,8,92,43
32,59,2025-01-28,2025-04-21,98,Crime|Drama,Castelo,Portugal,36,66,28
33,57,2024-07-24,2024-12-04,2,Drama|Horror,Sawahan,Indonesia,77,57,72
34,8,2025-03-03,2025-01-27,40,Comedy|Romance,Qingyun,China,37,72,74
35,93,2024-09-26,2025-04-28,40,Comedy,Pietà,Malta,40,32,30
36,66,2025-01-08,2024-07-27,87,Adventure|Fantasy|Mystery|Thriller,Alejandro Roca,Argentina,31,29,28
37,3,2025-02-11,2024-05-23,70,Crime|Drama,Cirumput,Indonesia,55,35,61
38,23,2025-05-17,2025-02-05,90,Drama,Xinchengzi,China,37,35,30
39,25,2025-01-21,2024-06-02,53,Drama,Circasia,Colombia,15,98,8
40,19,2025-02-16,2024-07-23,7,Documentary,Turrialba,Costa Rica,10,41,92
41,74,2024-06-21,2024-06-26,70,Documentary,Aranas Sur,Philippines,74,49,44
42,37,2024-05-24,2024-07-29,8,Sci-Fi,Yaroslavskiy,Russia,36,63,67
43,24,2024-05-21,2025-01-29,74,Action|Adventure|Sci-Fi|Thriller,Jinling,China,75,96,30
44,31,2025-04-24,2024-07-02,98,Adventure|Crime|Drama,Brooklyn,United States,59,96,8
45,47,2024-11-23,2024-08-13,50,Drama|War,Rosh Pinna,Israel,74,47,74
46,76,2025-03-29,2024-05-18,52,Action|Adventure|Drama|Western,Mayhan,Mongolia,9,42,94
47,62,2024-11-10,2024-06-25,3,Comedy,Mchinji,Malawi,54,64,34
48,16,2024-11-15,2024-12-20,60,Drama|Romance|Sci-Fi,Le Cannet,France,27,39,10
49,29,2024-09-03,2024-07-23,32,Drama,Haihui,China,86,42,94
50,30,2024-08-04,2024-08-18,62,Comedy,Jiuhua,China,88,32,51
51,35,2025-03-23,2024-12-24,22,(no genres listed),Cisaat,Indonesia,7,20,5
52,26,2024-07-19,2025-03-02,62,Comedy,Fort Smith,United States,8,57,8
53,35,2024-06-17,2025-05-13,39,Comedy|Drama|Romance|Thriller,Falun,Sweden,83,50,81
54,69,2025-03-12,2024-07-03,69,Comedy|Drama,Henghe,China,56,83,39
55,81,2025-01-06,2024-11-18,64,Thriller,Gantang,China,70,25,98
56,83,2024-11-19,2025-01-30,31,Comedy|Drama,Khlong Luang,Thailand,74,5,81
57,27,2025-04-11,2024-06-24,8,Comedy|Documentary,Banyupoh,Indonesia,69,72,68
58,25,2025-01-30,2024-10-18,20,Adventure|Children,Pulautemiang,Indonesia,82,47,69
59,15,2024-09-15,2025-04-09,69,Drama|Mystery,Qiantang,China,58,86,57
60,60,2025-01-14,2025-02-27,57,Drama,Ronda,Philippines,68,43,76
61,50,2024-07-30,2025-01-17,31,Horror,Bradashesh,Albania,2,62,97
62,14,2024-10-07,2025-04-06,37,Documentary,Rezé,France,43,31,30
63,92,2024-12-19,2025-02-15,35,Crime|Drama,Gambarjati,Indonesia,7,48,62
64,50,2024-11-18,2025-03-13,82,Comedy|Horror,Yonggu,China,66,30,80
65,89,2025-03-15,2024-12-12,6,Comedy,Al Qanāyāt,Egypt,96,34,60
66,20,2024-09-18,2024-09-12,78,Drama,Fengcheng,China,87,33,58
67,40,2024-06-20,2024-12-16,14,Animation|Children|Comedy|Drama|Fantasy|Musical,Quebo,Guinea-Bissau,85,80,28
68,27,2025-02-13,2024-07-28,91,Action|Crime|Mystery|Thriller,Palumbungan,Indonesia,11,18,27
69,56,2025-01-11,2024-09-30,29,Comedy|Drama,Talawakele,Sri Lanka,56,52,43
70,52,2025-04-30,2024-09-15,18,Horror|Thriller,Hägersten,Sweden,32,11,6
71,65,2025-03-01,2024-07-19,62,Drama|Romance,Leiden,Netherlands,72,41,23
72,86,2025-01-05,2025-05-03,56,Comedy|Crime|Mystery|Thriller,Jiaotang,China,11,66,54
73,41,2025-04-02,2025-01-29,36,Comedy|Drama,Villazón,Bolivia,31,27,96
74,42,2025-01-14,2024-10-29,97,Action|Adventure|Comedy|War,Skhodnitsa,Ukraine,85,4,31
75,6,2024-12-27,2024-11-10,76,Documentary|Musical|IMAX,Abuyog,Philippines,83,43,70
76,42,2024-11-20,2024-11-10,6,Drama,Messejana,Portugal,59,83,36
77,2,2024-05-27,2025-05-11,7,Comedy,Yiqi,China,86,6,9
78,99,2024-08-09,2024-09-19,5,Drama|Thriller,Si That,Thailand,22,92,91
79,15,2025-02-23,2025-03-09,86,Western,Andradina,Brazil,80,10,44
80,85,2024-07-03,2024-11-10,22,Horror|Sci-Fi|Thriller,Hitura,Nepal,36,5,52
81,87,2025-03-05,2024-08-03,77,Adventure|Comedy|Mystery|Romance,Malahide,Ireland,16,49,13
82,9,2024-08-10,2024-05-25,22,Comedy|Drama|Romance,Timpas,Philippines,33,71,28
83,92,2024-11-24,2024-10-10,3,Horror|Thriller,Arnage,France,1,97,18
84,52,2025-03-06,2024-06-11,77,Drama|Romance,Sidayu,Indonesia,63,68,15
85,95,2025-04-21,2025-01-02,12,Comedy|Horror|Musical|Western,Anjō,Japan,61,36,31
86,17,2025-01-22,2025-04-12,63,Children|Comedy,Želešice,Czech Republic,57,5,59
87,14,2024-07-28,2024-07-10,86,Drama|Mystery|Romance,Vouani,Comoros,40,7,81
88,27,2025-04-08,2024-10-02,74,Comedy,Yanmen,China,81,84,14
89,67,2024-08-18,2025-04-15,14,Action|Sci-Fi|Thriller,Bitaogan,Philippines,1,49,96
90,19,2025-01-12,2024-12-14,71,Horror|Thriller,Jiale,China,47,41,40
91,31,2024-07-16,2024-07-11,67,Drama|Mystery|War,Wangong,China,11,65,33
92,14,2024-06-01,2025-02-06,57,Drama|Mystery|Thriller,Yueyang,China,76,4,49
93,66,2024-05-24,2024-09-12,8,Romance|Western,Cangqian,China,83,11,99
94,26,2024-07-20,2025-01-08,33,Comedy,Tonekābon,Iran,79,13,4
95,58,2024-10-15,2025-04-10,7,Crime|Thriller,Eskilstuna,Sweden,18,9,63
96,5,2024-12-23,2024-06-19,61,Crime|Horror|Thriller,Jablonec nad Jizerou,Czech Republic,67,27,30
97,35,2024-07-19,2024-07-10,67,Drama,Smołdzino,Poland,75,73,76
98,34,2024-10-31,2025-03-05,55,Musical,Mamfe,Cameroon,63,63,69
99,38,2025-05-05,2025-04-16,12,Documentary,Mamanguape,Brazil,64,29,100
100,97,2024-06-26,2024-06-14,89,Drama|Thriller,Bachuan,China,11,97,86
101,15,2025-05-07,2025-01-26,95,Drama|Romance,Morteros,Argentina,76,15,72
102,15,2025-02-10,2024-08-22,85,Action|Thriller,Barraute,Canada,31,16,14
103,38,2024-05-19,2025-05-13,44,Comedy|Crime|Romance,Tamamura,Japan,3,48,96
104,73,2025-02-25,2024-09-06,40,Mystery|Thriller,Anjirserapat,Indonesia,37,26,3
105,8,2024-08-24,2025-03-03,70,Documentary,Vydreno,Russia,34,55,41
106,37,2024-10-08,2024-09-12,6,Documentary,Siqian,China,16,17,34
107,65,2024-06-12,2025-02-18,65,Action|Crime|Mystery|Romance|Thriller,San Diego,United States,47,5,43
108,75,2024-08-07,2025-03-29,78,Action|Crime|Thriller,Hradec nad Moravici,Czech Republic,62,17,47
109,15,2024-06-09,2024-10-20,83,Drama|Romance,Shitong,China,94,100,85
110,56,2025-01-26,2024-08-15,99,Comedy,Huanghua,China,61,35,40
111,53,2024-05-26,2025-01-05,5,Comedy|Drama,Praia de Mira,Portugal,8,45,73
112,90,2024-10-17,2025-02-06,29,Action|Thriller,Sibucao,Philippines,6,85,21
113,94,2024-11-08,2024-10-03,83,Drama,Bezerros,Brazil,91,5,52
114,37,2024-07-22,2025-03-12,43,Action|Animation|Drama|Sci-Fi|Thriller,Fenglu,China,73,61,12
115,99,2024-09-07,2025-01-11,23,Adventure|Animation|Drama|Romance|War,Marsada,Philippines,48,68,63
116,46,2025-03-18,2025-04-28,66,Crime|Documentary,Jinhe,China,18,89,50
117,60,2025-01-09,2024-09-07,94,Comedy|Musical,Lazaro Cardenas,Mexico,16,4,7
118,74,2024-09-12,2025-03-02,89,Documentary,Op,Indonesia,73,2,3
119,89,2025-02-13,2024-06-23,95,Drama|Fantasy|Romance,Sumiainen,Finland,80,57,84
120,54,2024-12-24,2024-09-05,47,Action|Adventure|Fantasy,Abomsa,Ethiopia,54,45,73
121,54,2024-07-10,2024-10-27,23,Action|Adventure|Comedy,Canalete,Colombia,83,86,9
122,41,2024-06-15,2024-06-25,57,Comedy|Musical,Kaingiwa,Nigeria,59,73,1
123,73,2024-06-07,2025-02-22,58,Crime|Thriller,Gumaus,Philippines,3,98,78
124,74,2025-01-01,2025-01-01,16,Drama|Romance,Hongjiazui,China,10,7,60
125,99,2024-11-15,2025-05-09,18,Crime|Drama|Thriller,Yanghou,China,89,72,77
126,79,2024-12-10,2025-02-01,41,Crime|Film-Noir,Bang Sao Thong,Thailand,48,87,18
127,75,2025-05-07,2025-02-06,39,Children|Fantasy,Kolomanu,Indonesia,39,67,63
128,59,2024-06-14,2024-11-04,53,Adventure|Romance,Tpig,Russia,30,87,90
129,55,2024-07-25,2025-01-18,38,Comedy|Musical|Romance,Midoun,Tunisia,84,54,90
130,74,2024-07-08,2024-06-22,88,Documentary,El Zapote,Mexico,57,23,38
131,9,2024-06-11,2024-11-09,55,Comedy|Sci-Fi,Hässleholm,Sweden,79,46,5
132,89,2025-03-31,2024-12-27,83,Documentary,Jargalant,Mongolia,33,59,46
133,46,2025-03-02,2024-12-21,25,Drama|Thriller|Western,Janiuay,Philippines,22,9,92
134,13,2024-06-02,2024-07-08,59,Comedy,Flórina,Greece,75,36,69
135,61,2025-02-27,2025-03-22,12,Comedy|Romance,Tostado,Argentina,54,34,11
136,92,2024-09-24,2024-12-30,22,Drama|Mystery|Romance,Wenfang,China,80,97,13
137,48,2024-11-08,2024-07-17,78,Thriller,Xiping,China,18,65,33
138,71,2024-10-01,2025-03-15,35,Documentary,Dagohoy,Philippines,48,73,10
139,33,2025-02-14,2024-07-13,17,Comedy|Mystery,Roza,Russia,75,99,72
140,62,2025-03-22,2025-03-03,92,Adventure|Sci-Fi,Gaoqiao,China,42,22,19
141,67,2024-07-13,2025-02-17,65,Drama|Romance,San Agustin,Peru,66,53,55
142,96,2025-03-17,2024-05-19,70,Horror|Mystery|Thriller,Lions Bay,Canada,44,24,38
143,11,2025-04-23,2025-02-14,81,Documentary,Darkovice,Czech Republic,93,71,20
144,26,2024-06-01,2024-10-15,10,Documentary,Ciwidara,Indonesia,37,87,54
145,88,2024-05-25,2025-03-20,80,Documentary,Canggou,China,86,89,45
146,2,2024-12-04,2024-06-02,68,Comedy,Novogurovskiy,Russia,3,12,85
147,63,2024-07-01,2025-03-01,99,Crime|Drama,Pilcuyo,Peru,76,27,84
148,70,2025-05-07,2024-06-28,30,Documentary,Mszana Dolna,Poland,17,70,31
149,17,2025-04-06,2024-09-12,50,Action|Horror|Sci-Fi,Barras,Brazil,3,15,69
150,61,2024-11-22,2025-02-24,70,Documentary,Meylan,France,49,79,39
151,91,2024-09-28,2024-08-25,39,Drama,Palmeira,Brazil,18,41,38
152,37,2024-07-03,2024-12-03,63,Documentary,Clondalkin,Ireland,33,4,4
153,41,2024-10-16,2024-07-10,18,Drama|Romance,Zhuhe,China,39,12,94
154,19,2024-06-06,2024-07-14,92,Drama,Hualmay,Peru,7,7,52
155,45,2024-06-12,2024-10-20,93,Children|Drama|Fantasy,Staraya Ladoga,Russia,70,91,92
156,47,2025-02-16,2024-06-12,62,Comedy|Drama,Berlin,Germany,86,78,100
157,71,2025-04-14,2024-05-21,50,Comedy|Drama,Tanbuqiao,China,57,40,25
158,27,2025-04-15,2024-12-02,54,Comedy|Crime,Zanjān,Iran,85,50,99
159,32,2024-06-16,2025-02-27,46,Action|Adventure|Documentary,Dongtou,China,75,18,45
